time,province,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-04-03,湖南,75.57,0.97,34.69,80.17,86.34,49.83,26.61
2017-04-03,甘肃,63.37,0.74,29.1,78.69,73.04,34.63,18.12
2017-04-03,福建,63.56,0.67,30.63,101.92,66.49,39.22,12.78
2017-04-03,西藏,50.24,0.73,14.66,91.51,60.89,20.58,10.1
2017-04-03,贵州,58.8,0.75,18.53,86.72,64.36,36.01,12.61
2017-04-03,辽宁,109.46,1.4,42.62,102.93,130.04,77.91,35.5
2017-04-03,重庆,61.24,0.78,45.81,41.99,67.56,38.98,15.25
2017-04-03,陕西,79.95,1.2,48.96,48.02,90.6,53.19,20.32
2017-04-03,青海,60.8,1.05,23.4,87.6,72.35,34.06,21.56
2017-04-03,黑龙江,77.59,0.8,28.92,73.6,81.49,52.86,16.62
2017-04-04,上海,66.98,0.67,27.57,129.56,60.51,47.61,10.61
2017-04-04,云南,41.96,0.72,14.39,88.14,37.08,22.01,9.89
2017-04-04,内蒙古,77.69,0.88,27.56,98.38,92.41,47.5,25.0
2017-04-04,北京,173.2,1.13,63.49,62.83,155.08,133.37,20.05
2017-04-04,吉林,104.2,1.35,31.31,103.24,138.73,62.72,25.91
2017-04-04,四川,64.6,0.72,25.89,69.96,65.85,42.92,13.47
2017-04-04,天津,124.29,1.49,65.98,74.68,132.07,91.14,44.15
2017-04-04,宁夏,46.01,0.7,20.35,81.59,42.43,25.82,19.89
2017-04-04,安徽,87.93,0.93,48.47,65.56,101.22,61.47,21.14
2017-04-04,山东,82.48,0.9,32.28,101.1,100.7,52.25,23.3
2017-04-04,山西,81.15,1.2,31.44,83.51,99.45,55.72,32.69
2017-04-04,广东,62.49,0.74,24.18,103.92,63.95,41.25,11.2
2017-04-04,广西,62.74,0.77,14.73,87.43,64.78,41.8,15.64
2017-04-04,新疆,83.9,0.71,20.1,72.27,120.51,32.27,9.71
2017-04-04,江苏,74.28,0.88,36.12,106.16,84.8,49.77,17.6
2017-04-04,江西,86.27,0.93,30.08,100.83,97.6,60.83,32.46
2017-04-04,河北,118.62,1.11,50.46,77.63,143.77,86.46,40.32
2017-04-04,河南,90.6,1.24,37.18,55.31,85.44,66.41,19.5
2017-04-04,浙江,67.02,0.71,29.03,107.72,71.75,42.7,13.91
2017-04-04,海南,43.83,0.46,7.68,88.61,44.31,17.05,4.08
2017-04-04,湖北,86.75,1.39,39.71,47.05,91.9,63.09,17.48
2017-04-04,湖南,81.28,0.95,23.38,87.33,91.21,56.12,18.63
2017-04-04,甘肃,65.98,0.74,28.45,80.93,73.41,36.96,15.48
2017-04-04,福建,61.94,0.68,28.46,109.84,64.08,38.78,12.11
2017-04-04,西藏,48.56,0.74,14.52,93.48,54.61,18.45,10.69
2017-04-04,贵州,53.56,0.77,18.27,78.6,56.73,31.76,11.22
2017-04-04,辽宁,112.79,1.03,27.32,130.33,131.69,78.51,24.26
2017-04-04,重庆,66.19,0.89,41.84,34.8,66.84,47.1,9.19
2017-04-04,陕西,73.87,1.1,32.0,62.83,69.59,52.28,12.33
2017-04-04,青海,56.46,0.96,20.53,84.76,60.34,31.28,20.62
2017-04-04,黑龙江,122.55,1.05,32.19,95.24,151.1,84.57,21.09
2017-04-05,上海,62.0,0.84,59.95,72.49,65.62,41.84,11.39
2017-04-05,云南,44.4,0.74,17.34,81.07,42.13,23.31,10.46
2017-04-05,内蒙古,81.66,0.84,26.03,96.2,93.59,48.29,21.1
2017-04-05,北京,83.56,0.61,28.38,94.88,74.63,61.53,5.41
2017-04-05,吉林,133.59,1.33,32.11,113.79,169.61,78.5,22.73
2017-04-05,四川,64.56,0.78,27.36,63.46,64.58,42.14,13.65
2017-04-05,天津,72.2,1.17,48.63,76.89,71.82,49.87,19.08
2017-04-05,宁夏,68.49,0.81,28.09,82.46,74.26,42.35,22.22
2017-04-05,安徽,113.63,1.16,41.73,51.1,112.32,84.05,16.39
2017-04-05,山东,68.07,0.88,24.16,79.25,68.99,46.05,13.71
2017-04-05,山西,79.34,1.24,38.06,73.79,87.7,55.16,38.52
2017-04-05,广东,57.62,0.76,26.62,76.08,60.3,36.14,10.93
2017-04-05,广西,63.68,0.82,18.66,61.17,67.73,40.93,16.56
2017-04-05,新疆,98.99,0.84,20.84,70.44,184.0,49.07,10.65
2017-04-05,江苏,90.38,1.14,50.62,58.33,97.7,64.43,17.62
2017-04-05,江西,90.44,1.0,32.57,75.49,104.61,64.49,31.05
2017-04-05,河北,90.56,0.86,32.86,79.04,94.1,64.8,20.31
2017-04-05,河南,119.47,1.36,30.85,55.96,113.26,89.77,16.49
2017-04-05,浙江,65.53,0.76,35.67,82.7,73.48,42.19,14.5
2017-04-05,海南,41.3,0.46,9.89,65.25,41.58,17.29,4.16
2017-04-05,湖北,93.59,1.45,36.47,38.84,93.49,69.22,12.41
2017-04-05,湖南,79.75,0.96,23.33,57.14,88.02,54.78,16.45
2017-04-05,甘肃,92.24,0.75,27.82,80.29,118.94,39.97,20.09
2017-04-05,福建,67.63,0.77,33.32,80.94,74.49,43.68,12.82
2017-04-05,西藏,44.94,0.66,15.45,84.2,56.4,19.66,9.81
2017-04-05,贵州,50.2,0.71,17.34,68.65,53.56,28.29,9.97
2017-04-05,辽宁,62.49,0.76,21.98,105.99,64.02,40.19,16.79
2017-04-05,重庆,67.93,0.94,45.54,26.75,68.11,48.36,10.02
2017-04-05,陕西,79.25,1.24,35.21,48.5,82.17,55.93,13.3
2017-04-05,青海,53.17,0.99,20.44,86.14,59.19,25.16,23.45
2017-04-05,黑龙江,131.76,0.95,28.43,99.93,178.93,77.94,19.46
2017-04-06,上海,96.75,0.95,76.76,29.18,90.05,72.1,13.08
2017-04-06,云南,45.61,0.73,18.64,77.25,45.02,22.62,12.92
2017-04-06,内蒙古,75.96,0.67,20.58,92.67,97.04,35.15,15.98
2017-04-06,北京,128.35,0.9,45.33,72.93,131.01,95.9,5.96
2017-04-06,吉林,107.01,1.28,31.97,72.88,111.2,80.19,22.0
2017-04-06,四川,68.74,0.84,30.58,62.45,72.89,45.04,15.32
2017-04-06,天津,130.33,1.44,56.27,73.39,136.24,95.46,23.74
2017-04-06,宁夏,83.81,0.73,22.68,83.02,105.88,45.87,18.02
2017-04-06,安徽,110.98,1.3,38.95,56.29,107.05,81.79,16.33
2017-04-06,山东,96.8,1.07,32.83,84.85,108.61,69.26,18.42
2017-04-06,山西,107.75,1.37,38.37,94.44,127.84,74.46,40.46
2017-04-06,广东,55.52,0.85,35.43,42.35,57.65,35.16,10.89
2017-04-06,广西,61.99,0.9,23.11,39.63,65.32,40.47,14.53
2017-04-06,新疆,84.34,0.89,21.68,69.69,133.38,48.73,10.31
2017-04-06,江苏,97.57,1.31,48.82,44.85,103.31,71.65,13.69
2017-04-06,江西,74.75,0.95,25.33,56.35,81.92,50.78,27.13
2017-04-06,河北,132.03,1.24,44.78,76.08,147.77,96.78,25.55
2017-04-06,河南,128.59,1.5,37.71,72.74,135.08,96.42,20.07
2017-04-06,浙江,101.78,0.98,50.5,60.75,116.03,72.73,19.33
2017-04-06,海南,31.66,0.53,11.15,43.7,30.96,14.46,4.0
2017-04-06,湖北,65.26,1.24,27.57,47.58,62.44,46.13,8.92
2017-04-06,湖南,59.35,0.92,19.5,47.79,58.29,38.51,13.74
2017-04-06,甘肃,78.36,0.66,23.29,80.55,102.56,36.54,13.52
2017-04-06,福建,65.33,0.86,40.72,42.07,76.35,39.98,14.03
2017-04-06,西藏,48.52,0.64,13.69,81.98,61.27,19.73,9.25
2017-04-06,贵州,51.21,0.69,20.57,70.02,53.68,29.35,11.4
2017-04-06,辽宁,79.14,0.9,28.02,70.79,85.69,53.28,16.53
2017-04-06,重庆,58.5,1.0,40.44,53.54,59.95,39.12,11.69
2017-04-06,陕西,82.22,1.22,35.04,65.73,93.03,55.92,14.91
2017-04-06,青海,70.0,1.02,22.88,91.39,90.71,33.98,27.83
2017-04-06,黑龙江,101.64,0.88,28.28,69.74,112.16,72.49,16.74
2017-04-07,上海,61.95,0.82,61.92,34.57,51.24,44.27,8.28
2017-04-07,云南,52.49,0.78,20.85,72.81,54.42,28.27,13.18
2017-04-07,内蒙古,76.11,0.72,25.23,82.87,95.41,39.08,16.23
2017-04-07,北京,104.36,0.79,43.96,60.56,121.42,76.66,8.2
2017-04-07,吉林,126.54,1.24,31.49,78.78,122.56,94.37,17.87
2017-04-07,四川,62.43,0.82,29.71,65.14,66.52,38.53,14.6
